,NAME10,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Crime,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,SVI
54,402.01,0.4493,0.0531,0.5453,0.6505,8769,1.3,21.7,8.4,0.0,0.371
55,402.02,0.9287,0.6465,0.7436,0.9502,8124,4.1,26.2,16.4,0.0,0.9555
56,403.0,0.7224,0.5795,0.6478,0.7076,4342,1.8,11.2,31.6,0.0,0.7343
57,404.01,0.2411,0.1103,0.5597,0.1895,2672,3.5,21.9,7.2,0.0,0.1619
58,404.02,0.2961,0.0341,0.3641,0.5774,5903,1.2,11.2,4.4,0.0,0.2002
59,406.0,0.3514,0.0283,0.4633,0.8047,3919,9.4,12.6,0.7,0.0,0.3025
60,407.0,0.3523,0.0507,0.3583,0.4638,3109,1.9,9.0,6.0,0.0,0.2214
61,408.0,0.195,0.0494,0.4544,0.6726,1718,2.7,15.5,1.9,0.0,0.2257
62,409.0,0.3888,0.0464,0.3076,0.8268,3129,1.8,6.1,4.5,0.0,0.3544
63,501.0,0.0863,0.0276,0.3304,0.3025,2202,3.0,5.9,4.6,1.3,0.0442
64,502.0,0.1766,0.5488,0.4566,0.3925,5500,3.2,14.4,4.0,0.0,0.3105
65,503.0,0.121,0.2242,0.5579,0.5261,1982,0.2,15.6,12.8,0.0,0.2543
66,505.0,0.0313,0.0378,0.3175,0.5989,5174,0.1,3.7,8.2,0.0,0.0903
67,506.0,0.0602,0.0117,0.1428,0.7568,2944,0.0,4.1,1.5,0.0,0.0728
68,507.0,0.0052,0.0083,0.1732,0.492,1190,0.0,4.9,2.2,0.0,0.0147
69,508.0,0.0338,0.0774,0.5149,0.301,1192,3.5,20.1,4.4,0.1,0.0789
70,509.0,0.1867,0.0789,0.4971,0.1809,1819,1.7,17.7,6.8,0.0,0.1139
71,510.0,0.0756,0.3682,0.5342,0.1978,2849,4.3,21.5,6.8,0.0,0.1542
72,511.0,0.1594,0.133,0.4922,0.2039,1572,1.5,16.2,5.6,0.0,0.1342
73,512.0,0.0872,0.0286,0.3322,0.4469,1443,4.1,6.6,3.9,0.0,0.0722
74,513.0,0.0408,0.1075,0.4817,0.1462,2101,6.3,15.0,2.1,0.0,0.0544
75,514.0,0.1161,0.164,0.5278,0.2779,5321,7.1,12.8,10.7,0.0,0.1585
76,601.0,0.176,0.1662,0.4605,0.5415,2753,3.6,7.7,9.5,0.0,0.2534
77,602.0,0.1969,0.0258,0.3847,0.8633,3277,1.9,13.3,3.2,0.0,0.2389
78,603.0,0.0107,0.0163,0.4777,0.3394,2582,0.4,17.7,8.8,0.0,0.0212
79,604.0,0.1548,0.0393,0.284,0.5071,3523,0.7,10.4,3.6,0.0,0.1271
80,605.0,0.5857,0.9493,0.4777,0.9088,1633,2.8,10.2,15.0,0.0,0.8173
81,608.0,0.231,0.11,0.5278,0.6548,3060,5.0,10.8,13.3,0.0,0.309
82,609.0,0.3406,0.0611,0.3497,0.6158,7063,2.6,10.0,5.2,0.0,0.2822
83,610.0,0.3547,0.0181,0.4596,0.5823,4556,1.9,12.9,3.7,0.0,0.1963
84,611.0,0.1262,0.0012,0.3267,0.5989,4747,4.0,10.2,3.7,0.0,0.0485
85,612.0,0.1339,0.0298,0.4495,0.3557,2201,1.6,14.1,5.4,0.0,0.0869
86,615.0,0.0866,0.0015,0.3347,0.3655,1542,3.7,6.3,3.9,0.0,0.0169
87,618.0,0.4914,0.0034,0.5259,0.9699,2061,2.5,13.8,12.6,0.0,0.3928
88,619.01,0.4803,0.0998,0.5232,0.7881,2546,6.6,11.4,13.0,0.0,0.4813
89,619.02,0.5765,0.0752,0.4053,0.3977,2562,6.1,5.4,9.6,0.4,0.3535
90,620.0,0.1311,0.0025,0.3377,0.5857,6404,3.2,5.9,4.3,0.0,0.0537
91,621.0,0.3434,0.0193,0.3469,0.5866,10431,2.8,7.0,7.9,0.0,0.184
92,622.0,0.0814,0.0095,0.3558,0.8093,4603,0.7,15.9,3.1,0.0,0.1066
93,623.0,0.0356,0.0224,0.3902,0.188,1531,2.1,4.9,8.2,0.0,0.0163
94,624.0,0.2475,0.055,0.2677,0.5301,1926,6.4,4.7,0.9,0.0,0.1929
95,625.0,0.3056,0.0301,0.4096,0.3206,2750,1.7,12.6,9.4,0.0,0.1308
96,626.0,0.0028,0.0673,0.4246,0.2497,2644,1.6,6.3,12.3,0.0,0.035
97,627.0,0.094,0.0329,0.3003,0.6483,4226,1.0,8.1,2.5,0.4,0.1235
98,628.0,0.0307,0.023,0.2567,0.195,3584,1.4,6.1,4.4,0.4,0.0138
99,629.0,0.3206,0.0123,0.3875,0.4601,5357,3.4,4.7,6.5,0.0,0.1275
100,630.0,0.172,0.0101,0.4504,0.813,10906,4.0,7.0,8.3,0.0,0.1668
101,631.0,0.1419,0.0021,0.284,0.4948,3673,0.0,4.9,5.2,0.0,0.0372
102,632.0,0.2377,0.0326,0.3396,0.9051,4656,4.2,6.4,6.1,0.0,0.2918
103,633.01,0.2955,0.0931,0.5232,0.4186,1851,9.5,13.5,5.8,0.0,0.2466
104,633.02,0.1809,0.0236,0.4179,0.7703,1952,3.1,10.4,8.7,0.0,0.192
105,633.03,0.227,0.3993,0.3089,0.6812,1461,0.0,2.4,14.5,0.0,0.3799
106,634.0,0.1916,0.0111,0.3522,0.3541,5616,4.1,5.1,8.0,0.0,0.0608
107,701.01,0.4635,0.1121,0.2941,0.7104,5416,0.4,8.0,3.1,0.3,0.4137
108,701.02,0.1649,0.0132,0.4139,0.8873,3348,4.9,13.5,4.2,0.0,0.1978
109,701.03,0.2482,0.0104,0.4268,0.7085,1850,1.8,9.2,11.8,0.0,0.1652
110,702.0,0.1797,0.0187,0.4025,0.9281,6806,3.9,8.9,6.3,0.0,0.2432
111,703.0,0.0762,0.004,0.2634,0.4459,7809,0.6,5.6,4.7,0.0,0.024
112,704.0,0.1247,0.047,0.2757,0.4622,4155,3.9,2.7,6.1,0.0,0.1158
113,705.0,0.2113,0.0369,0.3055,0.9367,2782,6.7,5.0,3.4,0.0,0.3099
114,706.0,0.0224,0.0501,0.2195,0.2795,3273,0.3,4.6,5.9,0.0,0.0329
115,707.0,0.0393,0.0642,0.5493,0.6864,9135,8.5,10.7,12.5,0.0,0.1732
116,710.0,0.14,0.0031,0.3657,0.8363,4567,6.3,5.4,7.4,0.0,0.1161
117,711.0,0.109,0.0203,0.4317,0.7764,6382,1.3,8.0,11.7,0.0,0.1508
118,712.0,0.1324,0.0488,0.3129,0.3643,6645,5.3,7.0,2.6,0.0,0.0983
119,713.0,0.2506,0.0568,0.4139,0.7792,4119,0.7,5.7,15.3,0.0,0.2961
120,714.0,0.1542,0.031,0.3196,0.887,6889,4.9,4.4,5.8,0.0,0.2328
121,715.0,0.1895,0.0169,0.2677,0.8575,10585,3.2,2.3,7.0,0.0,0.1861
122,716.0,0.0709,0.0826,0.4268,0.231,1382,7.7,3.8,10.1,0.0,0.078
123,717.0,0.0427,0.0731,0.4384,0.6431,2242,9.6,5.1,10.0,0.0,0.16
124,718.0,0.0405,0.1044,0.4891,0.3633,3412,6.8,8.2,14.3,0.0,0.1075
125,801.0,0.1311,0.0455,0.3267,0.3888,2999,2.2,2.1,8.8,0.0,0.1026
126,802.01,0.0795,0.0415,0.28,0.6662,2392,4.0,4.2,6.3,0.0,0.1348
127,802.02,0.0799,0.0608,0.3119,0.4005,8173,2.7,10.8,4.0,0.0,0.0964
128,803.0,0.0488,0.0135,0.3417,0.8188,7446,1.0,3.5,13.1,0.0,0.1029
129,804.0,0.4757,0.3151,0.7903,0.8569,11882,49.5,4.6,8.2,0.0,0.6216
130,810.0,0.4638,0.0593,0.5622,0.9678,10001,13.1,9.1,13.6,0.0,0.5534
131,811.0,0.3489,0.0332,0.4891,0.8262,5867,7.5,7.9,10.7,0.0,0.3246
132,812.01,0.1182,0.0648,0.3758,0.9509,19739,2.7,6.7,11.6,0.0,0.3256
133,812.02,0.0375,0.1136,0.2036,0.519,4424,2.1,1.5,3.8,0.0,0.1176
134,813.0,0.2822,0.2156,0.4154,0.6014,6203,5.2,4.0,13.0,0.0,0.3443
135,814.01,0.2832,0.0875,0.3558,0.9162,11187,2.2,3.6,12.3,0.0,0.4063
136,814.02,0.2239,0.0777,0.5686,0.6963,5584,3.1,6.7,23.4,0.0,0.2985
137,814.03,0.1361,0.0052,0.6187,0.6913,16495,1.9,5.4,32.4,0.0,0.1072
138,815.0,0.0909,0.0356,0.5745,0.8719,18391,2.2,9.9,25.9,0.0,0.2303
139,816.0,0.1603,0.0114,0.4354,0.8842,11889,1.8,3.6,16.4,0.0,0.1895
140,817.0,0.1557,0.015,0.4477,0.5888,19349,3.7,7.7,13.0,0.0,0.1103
141,818.0,0.0295,0.0018,0.4661,0.7429,23070,1.7,8.4,12.4,0.0,0.0482
142,819.0,0.3041,0.0433,0.5342,0.4687,6208,27.4,1.5,4.8,0.0,0.2113
143,901.0,0.1327,0.2601,0.4007,0.0577,1586,0.9,11.2,4.3,0.0,0.0799
144,902.0,0.0584,0.0888,0.2822,0.3007,4100,0.2,10.1,2.0,0.0,0.0777
145,903.0,0.0319,0.0562,0.2171,0.1057,853,0.0,5.6,0.5,0.0,0.0154
146,1001.0,0.5015,0.3259,0.3282,0.3689,4873,0.0,16.0,2.1,0.0,0.4008
