,geoid10,ID
0,17031010100,13132
1,17031010201,10777
2,17031010202,12830
3,17031010300,10431
4,17031010400,7052
5,17031010501,6044
6,17031010502,4321
7,17031010503,3091
8,17031010600,10931
9,17031010701,4168
10,17031010702,8859
11,17031020100,5604
12,17031020200,5535
13,17031020301,2508
14,17031020302,5252
15,17031020400,4799
16,17031020500,9084
17,17031020601,6619
18,17031020602,6450
19,17031020701,3757
20,17031020702,8538
21,17031020801,6198
22,17031020802,9903
23,17031020901,7866
24,17031020902,4170
25,17031030101,3675
26,17031030102,3458
27,17031030103,2048
28,17031030104,1855
29,17031030200,9428
30,17031030300,3210
31,17031030400,2811
32,17031030500,8664
33,17031030601,4293
34,17031030603,3879
35,17031030604,2981
36,17031030701,2163
37,17031030702,728
38,17031030703,4333
39,17031030706,3587
40,17031030800,6871
41,17031030900,4189
42,17031031000,4151
43,17031031100,5641
44,17031031200,11252
45,17031031300,6977
46,17031031400,8135
47,17031031501,5237
48,17031031502,6563
49,17031031700,10714
50,17031031800,2580
51,17031031900,2881
52,17031032100,11316
53,17031040100,6016
54,17031040201,8769
55,17031040202,8124
56,17031040300,4342
57,17031040401,2672
58,17031040402,5903
59,17031040600,3919
60,17031040700,3109
61,17031040800,1718
62,17031040900,3129
63,17031050100,2202
64,17031050200,5500
65,17031050300,1982
66,17031050500,5174
67,17031050600,2944
68,17031050700,1190
69,17031050800,1192
70,17031050900,1819
71,17031051000,2849
72,17031051100,1572
73,17031051200,1443
74,17031051300,2101
75,17031051400,5321
76,17031060100,2753
77,17031060200,3277
78,17031060300,2582
79,17031060400,3523
80,17031060500,1633
81,17031060800,3060
82,17031060900,7063
83,17031061000,4556
84,17031061100,4747
85,17031061200,2201
86,17031061500,1542
87,17031061800,2061
88,17031061901,2546
89,17031061902,2562
90,17031062000,6404
91,17031062100,10431
92,17031062200,4603
93,17031062300,1531
94,17031062400,1926
95,17031062500,2750
96,17031062600,2644
97,17031062700,4226
98,17031062800,3584
99,17031062900,5357
100,17031063000,10906
101,17031063100,3673
102,17031063200,4656
103,17031063301,1851
104,17031063302,1952
105,17031063303,1461
106,17031063400,5616
107,17031070101,5416
108,17031070102,3348
109,17031070103,1850
110,17031070200,6806
111,17031070300,7809
112,17031070400,4155
113,17031070500,2782
114,17031070600,3273
115,17031070700,9135
116,17031071000,4567
117,17031071100,6382
118,17031071200,6645
119,17031071300,4119
120,17031071400,6889
121,17031071500,10585
122,17031071600,1382
123,17031071700,2242
124,17031071800,3412
125,17031080100,2999
126,17031080201,2392
127,17031080202,8173
128,17031080300,7446
129,17031080400,11882
130,17031081000,10001
131,17031081100,5867
132,17031081201,19739
133,17031081202,4424
134,17031081300,6203
135,17031081401,11187
136,17031081402,5584
137,17031081403,16495
138,17031081500,18391
139,17031081600,11889
140,17031081700,19349
141,17031081800,23070
142,17031081900,6208
143,17031090100,1586
144,17031090200,4100
145,17031090300,853
146,17031100100,4873
147,17031100200,5438
148,17031100300,3806
149,17031100400,1663
150,17031100500,4856
151,17031100600,6043
152,17031100700,2322
153,17031110100,4822
154,17031110200,3634
155,17031110300,3804
156,17031110400,4614
157,17031110501,4141
158,17031110502,6262
159,17031120100,1798
160,17031120200,3015
161,17031120300,3873
162,17031120400,3502
163,17031130100,6168
164,17031130200,3013
165,17031130300,5380
166,17031140100,4031
167,17031140200,8128
168,17031140301,3808
169,17031140302,4197
170,17031140400,7340
171,17031140500,5336
172,17031140601,2970
173,17031140602,6934
174,17031140701,3989
175,17031140702,8671
176,17031140800,6696
177,17031150200,10851
178,17031150300,9463
179,17031150401,5077
180,17031150402,4185
181,17031150501,2766
182,17031150502,4265
183,17031150600,5011
184,17031150700,5070
185,17031150800,6999
186,17031151001,4291
187,17031151002,7551
188,17031151100,7781
189,17031151200,6685
190,17031160100,3008
191,17031160200,4401
192,17031160300,5042
193,17031160400,6508
194,17031160501,5213
195,17031160502,4337
196,17031160601,4086
197,17031160602,3950
198,17031160700,8004
199,17031160800,9132
200,17031160900,5014
201,17031161000,4163
202,17031161100,4248
203,17031161200,3943
204,17031161300,7961
205,17031170100,2482
206,17031170200,4117
207,17031170300,5998
208,17031170400,3860
209,17031170500,3845
210,17031170600,1655
211,17031170700,2422
212,17031170800,3679
213,17031170900,1431
214,17031171000,7918
215,17031171100,4530
216,17031180100,6302
217,17031190100,4090
218,17031190200,8162
219,17031190300,8940
220,17031190401,6459
221,17031190402,7544
222,17031190601,6280
223,17031190602,7734
224,17031190701,3922
225,17031190702,7007
226,17031190800,9861
227,17031190900,4433
228,17031191000,4125
229,17031191100,12365
230,17031191200,8794
231,17031191301,7455
232,17031191302,7412
233,17031200100,5418
234,17031200200,9694
235,17031200300,3005
236,17031200401,5254
237,17031200402,6643
238,17031210100,6769
239,17031210400,4321
240,17031210501,7075
241,17031210502,6669
242,17031210601,4664
243,17031210602,7869
244,17031210700,5454
245,17031210800,1933
246,17031210900,4304
247,17031220300,3594
248,17031220400,4505
249,17031220500,5990
250,17031220601,3272
251,17031220602,9211
252,17031220701,5196
253,17031220702,7346
254,17031220901,5748
255,17031220902,5210
256,17031221000,4891
257,17031221100,7645
258,17031221200,5180
259,17031221300,6519
260,17031221400,8532
261,17031221500,4516
262,17031221600,4967
263,17031222200,4010
264,17031222500,2747
265,17031222600,3493
266,17031222700,3573
267,17031222800,2126
268,17031222900,3341
269,17031230100,3155
270,17031230200,4192
271,17031230300,1606
272,17031230400,4385
273,17031230500,7781
274,17031230600,22617
275,17031230700,15139
276,17031230800,3008
277,17031230900,12687
278,17031231100,4119
279,17031231200,25102
280,17031231500,25880
281,17031240200,2696
282,17031240300,3611
283,17031240500,6334
284,17031240600,2668
285,17031240700,2669
286,17031240800,2522
287,17031240900,8717
288,17031241000,8135
289,17031241100,9998
290,17031241200,4703
291,17031241300,3212
292,17031241400,17045
293,17031241500,9886
294,17031241600,7962
295,17031242000,8150
296,17031242100,7815
297,17031242200,5722
298,17031242300,4995
299,17031242400,6845
300,17031242500,5950
301,17031242600,12022
302,17031242700,4135
303,17031242800,3554
304,17031242900,3823
305,17031243000,4796
306,17031243100,3876
307,17031243200,4505
308,17031243300,4989
309,17031243400,5667
310,17031243500,9219
311,17031250200,9499
312,17031250300,12271
313,17031250400,15693
314,17031250500,7696
315,17031250600,11244
316,17031250700,15473
317,17031250800,11505
318,17031251000,6349
319,17031251100,14929
320,17031251200,13824
321,17031251300,15080
322,17031251400,15929
323,17031251500,17479
324,17031251600,13756
325,17031251700,7753
326,17031251800,28299
327,17031251900,28890
328,17031252000,20243
329,17031252101,6921
330,17031252102,21166
331,17031252201,11342
332,17031252202,21345
333,17031260100,7898
334,17031260200,9151
335,17031260300,7676
336,17031260400,6897
337,17031260500,9585
338,17031260600,10578
339,17031260700,12785
340,17031260800,12038
341,17031260900,7503
342,17031261000,8752
343,17031270500,10518
344,17031271200,7563
345,17031271300,8439
346,17031271400,6610
347,17031271500,4367
348,17031271800,5971
349,17031280100,11445
350,17031280400,6627
351,17031280800,7293
352,17031280900,4472
353,17031281900,11750
354,17031282700,7826
355,17031282800,3250
356,17031283100,4136
357,17031283200,4254
358,17031283800,5245
359,17031290900,17058
360,17031291200,11699
361,17031291600,1856
362,17031292200,10603
363,17031292400,9012
364,17031292500,13711
365,17031300500,4013
366,17031300600,5630
367,17031300700,7779
368,17031300800,8365
369,17031300900,8784
370,17031301100,4386
371,17031301200,7118
372,17031301600,6137
373,17031301701,5494
374,17031301702,4460
375,17031301801,4719
376,17031301802,7807
377,17031301803,5483
378,17031310200,3116
379,17031310300,3264
380,17031310400,1855
381,17031310500,2486
382,17031310600,9931
383,17031310700,3035
384,17031310800,6917
385,17031310900,8138
386,17031320100,40768
387,17031320400,23349
388,17031320600,8668
389,17031330100,28908
390,17031330200,6623
391,17031340300,1514
392,17031340400,2629
393,17031340500,3592
394,17031340600,6201
395,17031350100,2347
396,17031350400,7305
397,17031351000,7734
398,17031351100,10824
399,17031351400,7046
400,17031351500,2940
401,17031360200,4298
402,17031380100,6083
403,17031380200,3858
404,17031380500,2741
405,17031380700,4770
406,17031381200,6833
407,17031381400,9326
408,17031381500,1905
409,17031381700,2632
410,17031381800,8610
411,17031381900,4044
412,17031390100,4493
413,17031390200,4585
414,17031390300,8959
415,17031390400,9123
416,17031390500,2599
417,17031390600,3026
418,17031390700,7742
419,17031400300,11536
420,17031400400,10563
421,17031400500,12378
422,17031400800,14641
423,17031410100,3555
424,17031410200,1112
425,17031410500,5398
426,17031410600,2640
427,17031410700,3952
428,17031410800,5768
429,17031410900,4750
430,17031411000,4873
431,17031411100,3020
432,17031411200,1741
433,17031420100,5246
434,17031420200,4028
435,17031420300,3113
436,17031420400,4950
437,17031420500,12862
438,17031420600,12001
439,17031420700,30497
440,17031420800,11176
441,17031421200,7639
442,17031430101,16486
443,17031430102,8791
444,17031430200,19747
445,17031430300,11583
446,17031430400,13146
447,17031430500,17208
448,17031430600,9704
449,17031430700,6690
450,17031430800,6706
451,17031430900,7127
452,17031431200,10690
453,17031431301,18711
454,17031431302,22317
455,17031431400,21760
456,17031440101,24823
457,17031440102,20413
458,17031440201,17777
459,17031440202,10225
460,17031440300,14240
461,17031440600,5997
462,17031440700,4312
463,17031440800,5911
464,17031440900,9027
465,17031450300,12706
466,17031460100,14920
467,17031460200,8828
468,17031460301,11183
469,17031460302,16140
470,17031460400,13126
471,17031460500,20230
472,17031460600,6333
473,17031460700,11817
474,17031461000,7899
475,17031470100,10305
