,FIPS,Crime prevelance,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,Binge Drinking,Smoking,Depression,Physical Inactivity,Sleep<7hours
113,17031070500,3004,0.1891,0.0307,0.3115,0.8918,6.7,5.0,3.4,0.0,19.2,7.9,14.7,14.1,26.8
114,17031070600,3552,0.0205,0.0432,0.2137,0.2751,0.3,4.6,5.9,0.0,19.9,6.9,14.9,11.3,27.2
115,17031070700,10126,0.03,0.0643,0.5438,0.6492,8.5,10.7,12.5,0.0,19.3,10.0,15.5,15.2,29.7
116,17031071000,5030,0.1137,0.0023,0.3709,0.8155,6.3,5.4,7.4,0.0,21.3,7.7,18.1,13.0,27.7
117,17031071100,6924,0.0897,0.013,0.4309,0.7508,1.3,8.0,11.7,0.0,20.1,6.5,16.7,11.8,26.0
118,17031071200,7182,0.1217,0.0445,0.3197,0.3332,5.3,7.0,2.6,0.0,18.5,8.0,15.6,14.1,27.4
119,17031071300,4476,0.2063,0.0571,0.4134,0.7378,0.7,5.7,15.3,0.0,19.5,6.5,15.5,11.4,26.6
120,17031071400,7517,0.1408,0.0201,0.3265,0.8621,4.9,4.4,5.8,0.0,17.7,7.9,15.5,14.0,27.8
121,17031071500,11735,0.1628,0.0094,0.2705,0.7606,3.2,2.3,7.0,0.0,19.1,6.5,15.3,11.3,26.9
122,17031071600,1482,0.0639,0.0867,0.4254,0.2278,7.7,3.8,10.1,0.0,17.5,8.2,15.1,14.1,28.0
123,17031071700,2431,0.0401,0.0754,0.4384,0.6412,9.6,5.1,10.0,0.0,17.8,8.0,14.9,13.4,28.5
124,17031071800,3786,0.0316,0.1128,0.4923,0.3564,6.8,8.2,14.3,0.0,17.5,8.2,14.9,13.7,29.0
125,17031080100,3594,0.1168,0.0349,0.3328,0.3651,2.2,2.1,8.8,0.0,14.1,6.8,14.1,14.9,25.9
126,17031080201,2738,0.0701,0.0275,0.2794,0.6248,4.0,4.2,6.3,0.0,14.7,6.6,14.1,13.7,26.0
127,17031080202,9610,0.0618,0.0417,0.3181,0.3712,2.7,10.8,4.0,0.0,16.3,7.5,15.3,13.8,27.2
128,17031080300,8388,0.0326,0.0091,0.3464,0.7227,1.0,3.5,13.1,0.0,20.5,7.1,14.9,11.2,28.0
129,17031080400,13779,0.4497,0.2996,0.8076,0.8203,49.5,4.6,8.2,0.0,14.7,15.6,16.7,24.5,37.5
130,17031081000,11906,0.4054,0.0465,0.5605,0.953,13.1,9.1,13.6,0.0,16.2,9.7,15.7,18.6,29.3
131,17031081100,6923,0.3132,0.0188,0.4923,0.7692,7.5,7.9,10.7,0.0,17.3,8.2,15.2,14.7,29.1
132,17031081201,24901,0.1102,0.0516,0.378,0.9271,2.7,6.7,11.6,0.0,15.6,6.1,14.6,13.6,25.9
133,17031081202,5189,0.0336,0.1187,0.1912,0.4896,2.1,1.5,3.8,0.0,12.7,6.4,13.5,15.3,25.3
134,17031081300,7250,0.2385,0.1844,0.4149,0.5469,5.2,4.0,13.0,0.0,12.3,6.8,13.2,16.5,26.2
135,17031081401,13021,0.2405,0.0646,0.3609,0.8866,2.2,3.6,12.3,0.0,13.2,6.5,13.1,16.0,26.6
136,17031081402,6380,0.2028,0.0688,0.5664,0.6499,3.1,6.7,23.4,0.0,15.7,7.1,13.6,14.2,28.1
137,17031081403,19420,0.1299,0.0031,0.614,0.6304,1.9,5.4,32.4,0.0,16.9,7.1,13.9,13.5,28.6
138,17031081500,21806,0.0774,0.0265,0.5722,0.8338,2.2,9.9,25.9,0.0,17.5,6.9,13.9,12.8,27.7
139,17031081600,13841,0.1476,0.007,0.4336,0.788,1.8,3.6,16.4,0.0,19.4,6.7,14.2,11.8,27.7
140,17031081700,23247,0.1427,0.0084,0.445,0.5338,3.7,7.7,13.0,0.0,19.0,6.2,13.8,11.8,28.2
141,17031081800,26505,0.0261,0.0014,0.4678,0.6952,1.7,8.4,12.4,0.0,20.8,6.8,14.8,10.7,27.9
142,17031081900,7895,0.2373,0.0315,0.5293,0.4492,27.4,1.5,4.8,0.0,14.6,11.6,14.2,20.2,34.2
143,17031090100,1798,0.119,0.2598,0.3988,0.0566,0.9,11.2,4.3,0.0,14.6,11.4,15.3,20.2,29.1
144,17031090200,4560,0.051,0.0831,0.2825,0.2827,0.2,10.1,2.0,0.0,16.4,10.3,15.2,17.3,28.6
145,17031090300,958,0.0206,0.0554,0.212,0.1003,0.0,5.6,0.5,0.0,15.4,10.3,14.8,17.7,28.4
146,17031100100,5437,0.4452,0.333,0.3342,0.3428,0.0,16.0,2.1,0.0,15.3,12.9,15.6,21.8,30.4
147,17031100200,6002,0.1738,0.4328,0.4384,0.8652,2.5,17.0,4.1,0.2,14.9,13.1,15.7,22.2,30.0
148,17031100300,4299,0.1691,0.578,0.2841,0.8074,0.6,8.1,3.2,0.3,12.3,11.1,14.3,24.2,28.4
149,17031100400,1922,0.1119,0.6283,0.4336,0.2199,0.1,15.0,9.2,0.0,15.0,11.9,15.4,20.1,29.6
150,17031100500,5399,0.1426,0.8618,0.3988,0.4098,0.0,10.4,4.7,0.0,14.5,12.2,15.4,21.1,29.7
151,17031100600,6807,0.4166,0.7861,0.5469,0.2677,0.7,29.5,4.2,0.0,14.8,13.3,15.4,22.8,30.7
152,17031100700,2632,0.4915,0.2314,0.3667,0.2259,0.2,14.7,5.4,0.0,13.8,11.2,14.3,21.8,29.0
153,17031110100,5316,0.3669,0.1117,0.609,0.3097,1.2,22.7,15.1,0.0,14.9,14.4,16.0,23.7,31.8
154,17031110200,4038,0.6056,0.5599,0.5806,0.8724,6.4,24.0,8.5,0.0,14.8,11.9,14.9,21.9,30.1
155,17031110300,4244,0.3746,0.6771,0.5713,0.1383,0.2,26.8,8.6,0.0,14.4,14.2,15.7,24.5,31.4
156,17031110400,5186,0.549,0.2327,0.6063,0.7338,1.2,24.1,9.4,0.0,15.2,12.6,15.2,22.1,30.5
157,17031110501,4553,0.3762,0.2718,0.6661,0.328,5.2,24.7,16.4,0.0,14.8,12.9,14.8,23.0,31.1
158,17031110502,7238,0.4966,0.4231,0.5864,0.3877,3.3,23.5,9.2,0.8,15.1,13.8,15.5,23.4,31.7
159,17031120100,2062,0.2412,0.2211,0.3134,0.1758,0.3,12.5,3.3,0.0,14.5,9.2,14.0,17.2,27.7
160,17031120200,3454,0.1153,0.5616,0.4068,0.1301,1.4,8.8,12.3,0.0,13.7,9.7,14.2,18.6,28.1
161,17031120300,4398,0.1738,0.6389,0.4003,0.181,0.1,10.3,9.2,0.0,13.3,9.1,13.4,18.6,28.2
162,17031120400,3905,0.6054,0.2438,0.636,0.1175,0.7,24.6,17.7,0.0,14.3,12.4,14.5,22.9,31.2
163,17031130100,7058,0.66,0.8976,0.5653,0.9305,1.3,8.9,25.2,0.1,8.9,10.7,12.4,28.4,28.8
164,17031130200,3380,0.1749,0.6713,0.6846,0.2448,0.9,28.5,14.6,0.0,13.7,9.7,13.4,19.8,29.0
165,17031130300,5860,0.8034,0.5001,0.7539,0.5694,4.2,22.8,32.3,0.0,12.7,15.0,14.1,28.1,33.5
166,17031140100,4607,0.9279,0.3666,0.7627,0.6661,12.8,38.7,9.1,0.0,16.2,14.5,14.7,26.6,33.8
