iter	RMSE
338	0.1391479626
339	0.1390673563
340	0.1386973135
341	0.1385554445
342	0.1383862188
343	0.1376781392
344	0.1375132142
345	0.1373788217
346	0.13700595
347	0.1367268844
348	0.136056041
349	0.135631952
350	0.1350425759
351	0.1345658683
352	0.1340275314
353	0.1333751048
354	0.1324819308
355	0.132278103
356	0.1315049485
357	0.1309251715
358	0.1302832399
359	0.1300338605
360	0.1293416309
361	0.1290961659
362	0.1286258614
363	0.1280097272
364	0.1274759774
365	0.1269114132
366	0.1266134767
367	0.1262861143
368	0.1256590873
369	0.1254652999
370	0.1253639742
371	0.1248260367
372	0.1241752249
373	0.1238044192
374	0.1234725542
375	0.1228793506
376	0.1223746717
377	0.1217175219
378	0.1215265551
379	0.121065049
380	0.1207362478
381	0.1200599024
382	0.1198430849
383	0.119213014
384	0.1184398213
385	0.1181835972
386	0.1177931061
387	0.1171612192
388	0.1167809072
389	0.1162032175
390	0.1155535955
391	0.1150543631
392	0.1144643948
393	0.1144044174
394	0.1139508989
395	0.1137196688
396	0.1133008906
397	0.1126502752
398	0.1122596249
399	0.1116379289
400	0.1109581094
401	0.1103516613
402	0.1100786265
403	0.1094212597
404	0.109119277
405	0.1086832494
406	0.1086090112
407	0.1084939396
408	0.1080200297
409	0.1075291978
410	0.1069671438
411	0.1066703083
412	0.1065432929
413	0.1062295134
414	0.1058281446
415	0.1055817908
416	0.1054882881
417	0.1054285402
418	0.1052871068
419	0.1051824574
420	0.1051233961
421	0.1050690826
422	0.1048402343
423	0.1045005466
424	0.1040206861
425	0.1036762178
426	0.103570068
427	0.1029588333
428	0.1029127011
429	0.1025613101
430	0.1021426412
431	0.1017107759
432	0.1012240644
433	0.1007902908
434	0.1007278953
435	0.1004025476
436	0.1001504565
437	0.100090779
438	0.09966488773
439	0.09912815507
440	0.09866380346
441	0.09821692115
442	0.09780831427
443	0.09740501236
444	0.0970975131
445	0.09701199075
446	0.09660344037
447	0.0961629698
448	0.09584853935
449	0.09577475457
450	0.09535038123
451	0.09486850533
452	0.09478625369
453	0.09466954654
454	0.09425190574
455	0.09382614625
456	0.09365282595
457	0.09361010453
458	0.09308758761
459	0.09274226143
460	0.09248913963
461	0.09240961722
462	0.09207829306
463	0.09201771596
464	0.09185928689
465	0.09148876905
466	0.09142384965
467	0.09132535451
468	0.09092093589
469	0.09040499617
470	0.0898980185
471	0.08959439428
472	0.08915520621
473	0.08911991135
474	0.08860965195
475	0.08803512257
476	0.08770626181
477	0.08728021116
478	0.08708716911
479	0.08703643131
480	0.0867279219
481	0.08669278797
482	0.0863549426
483	0.08603508626
484	0.08562673707
485	0.08532676671
486	0.08504798388
487	0.08486729431
488	0.0848147106
489	0.08431653106
490	0.08393856876
491	0.08359746632
492	0.08329221436
493	0.08317624023
494	0.08308863659
495	0.08287716332
496	0.08242135097
497	0.08235099486
498	0.08200046491
499	0.08173780017
500	0.08169805446
501	0.08151963461
502	0.08136963003
503	0.08134023991
504	0.08115070286
505	0.0810976273
506	0.0808537284
507	0.08031986196
508	0.07998188446
509	0.07992474415
510	0.07975108751
511	0.07944816537
512	0.07905741586
513	0.07875618115
514	0.07872613275
515	0.0783616277
516	0.07830049963
517	0.07793442427
518	0.07739882035
519	0.07721498524
520	0.07693348297
521	0.07678905059
522	0.07637773238
523	0.0761513547
524	0.07577283045
525	0.07546407329
526	0.07512102844
527	0.07469904884
528	0.07439926518
529	0.07415606665
530	0.07396873053
531	0.07376677855
532	0.07360293638
533	0.07321253508
534	0.07294562523
535	0.07288311996
536	0.07274690834
537	0.07257700435
538	0.07229831827
539	0.07211732125
540	0.07205454616
541	0.07170035781
542	0.07165927672
543	0.07143925246
544	0.07137734881
545	0.07111365809
546	0.0708284799
547	0.07060193654
548	0.07040095683
549	0.07015490972
550	0.07011097891
551	0.0696883733
552	0.06964466931
553	0.06938264834
554	0.06904379157
555	0.06867074297
556	0.0686093575
557	0.06839899542
558	0.06816800997
559	0.06791853204
560	0.06786417397
561	0.06753278195
562	0.06733321163
563	0.0670040462
564	0.0667524028
565	0.06637114742
566	0.06611022345
567	0.06607133886
568	0.06576352985
569	0.0655002995
570	0.0653870242
571	0.06513374967
572	0.06484213872
573	0.06465047864
574	0.06442407455
575	0.06424768773
576	0.06398382402
577	0.06372321903
578	0.06345549843
579	0.06306032908
580	0.06302365567
581	0.06279200411
582	0.0625262079
583	0.06225961383
584	0.06206594714
585	0.06194154995
586	0.06171179159
587	0.06167889569
588	0.06149325738
589	0.06128237999
590	0.06108418447
591	0.06085976856
592	0.06065472775
593	0.06041855922
594	0.06017895119
595	0.06015668477
596	0.06008496913
597	0.05981968655
598	0.05963007897
599	0.05931543861
600	0.05891577787
601	0.05871114285
602	0.05867454947
603	0.0583783235
604	0.05812639977
605	0.0578192413
606	0.05756939466
607	0.0572223056
608	0.05703298158
609	0.05682367463
610	0.05647561233
611	0.05638638866
612	0.05625548644
613	0.05602385873
614	0.05568520914
615	0.0555225868
616	0.05534450379
617	0.05519269239
618	0.05515551272
619	0.05488818242
620	0.05473200684
621	0.0545913186
622	0.05436792823
623	0.05414632022
624	0.05408459083
625	0.05384930829
626	0.05361947331
627	0.05334581204
628	0.05332094358
629	0.05329592944
630	0.0530452949
631	0.05286243725
632	0.05265841904
633	0.05247036694
634	0.05227933168
635	0.05206684481
636	0.05181185391
637	0.05169127978
638	0.05154857705
639	0.05147933934
640	0.05119750861
641	0.05100387688
642	0.05080456234
643	0.05057860948
644	0.05037001743
645	0.05016060802
646	0.05008362219
647	0.04996575135
648	0.0497383895
649	0.04955331119
650	0.04935698189
651	0.04922655663
652	0.04921047841
653	0.04904171023
654	0.04902402566
655	0.04886389206
656	0.04882646303
657	0.04853882115
658	0.04828796955
659	0.04805418507
660	0.04785403802
661	0.04781296672
662	0.04778711348
663	0.04777469906
664	0.04765112457
665	0.04749054237
666	0.04736107016
667	0.04734532861
668	0.04721127008
669	0.04708994091
670	0.04689598763
671	0.0468814731
672	0.04679147038
673	0.04662799095
674	0.04653972999
675	0.04652148191
676	0.04627268124
677	0.04617804014
678	0.0460738563
679	0.04592893836
680	0.04578762903
681	0.04562435723
682	0.04543828361
683	0.04524636789
684	0.04513069098
685	0.04493403675
686	0.04467746459
687	0.04453669487
688	0.04451933131
689	0.04430952334
690	0.04416325093
691	0.04402092025
692	0.04399035708
693	0.04383980051
694	0.0437760258
695	0.04364765714
696	0.04355426
697	0.04341019311
698	0.0432609854
699	0.04324820559
700	0.04322098496
701	0.04306321784
702	0.04284122539
703	0.04269567449
704	0.04258573558
705	0.04254700147
706	0.04240439485
707	0.04222227374
708	0.04211771322
709	0.04190718409
710	0.04166859651
711	0.04153965723
712	0.04141467288
713	0.0412627309
714	0.04107069714
715	0.04093733179
716	0.04090586185
717	0.04071420195
718	0.04059490369
719	0.04050281135
720	0.04030684956
721	0.04021134265
722	0.04004555806
723	0.04003090278
724	0.03991004824
725	0.03982962007
726	0.03980856672
727	0.03977580225
728	0.03970923069
729	0.03957269872
730	0.03943480376
731	0.0392715725
732	0.03913152719
733	0.03897813621
734	0.03879881405
735	0.03875084821
736	0.03853554462
737	0.03842361349
738	0.03821434306
739	0.03804203758
740	0.03784982473
741	0.03773590248
742	0.0375881138
743	0.03744694569
744	0.03725047865
745	0.03713188702
746	0.0369935414
747	0.03697492193
748	0.03677845794
749	0.03676942041
750	0.03662393079
751	0.03661216125
752	0.0364489519
753	0.03643591283
754	0.03627639945
755	0.03620022715
756	0.03605710727
757	0.03604336487
758	0.03585350187
759	0.03570989525
760	0.03564722622
761	0.03550682359
762	0.03545851894
763	0.0353230049
764	0.03525729973
765	0.03507248531
766	0.03493184696
767	0.03490327801
768	0.03475749639
769	0.03474670599
770	0.03469780125
771	0.0346083541
772	0.03456267359
773	0.03442979251
774	0.03425666423
775	0.03412697109
776	0.0339754662
777	0.03384387497
778	0.03372181978
779	0.03365730593
780	0.03360338782
781	0.03347510227
782	0.0333527353
783	0.03324987375
784	0.03310527729
785	0.0329209861
786	0.03283139451
787	0.03269893664
788	0.03262098978
789	0.03250712618
790	0.03237692315
791	0.0322624167
792	0.03217124545
793	0.03205551
794	0.03197888784
795	0.03186862284
796	0.03185997741
797	0.03171563128
798	0.03164588611
799	0.03149309638
800	0.03138705485
801	0.03136430009
802	0.03122525925
803	0.03113203148
804	0.03106322388
805	0.03102920066
806	0.03091599845
807	0.03072022208
808	0.03057200309
809	0.03055751831
810	0.0304481986
811	0.0304278309
812	0.03025190467
813	0.03013480229
814	0.03003617004
815	0.0300120494
816	0.0299061132
817	0.02979059976
818	0.02970438346
819	0.02961010708
820	0.02947852832
821	0.02946747168
822	0.029367036
823	0.02919854564
824	0.02908819331
825	0.02907990275
826	0.02904824797
827	0.02895336289
828	0.02890988233
829	0.02880727192
830	0.02871605156
831	0.02855459099
832	0.02846187644
833	0.02840294199
834	0.02827564256
835	0.02814710455
836	0.02811401903
837	0.02805735395
838	0.02792057013
839	0.02785957457
840	0.02776310572
841	0.02764723239
842	0.02753585416
843	0.027518884
844	0.02744413692
845	0.02741979731
846	0.02732146294
847	0.0271740641
848	0.02708570897
849	0.02696471368
850	0.02684887991
851	0.02676122067
852	0.02668172803
853	0.02658306263
854	0.02647101587
855	0.02642144699
856	0.02636176689
857	0.02634593951
858	0.02619932517
859	0.02612563524
860	0.02603778508
861	0.02594528686
862	0.02585052871
863	0.02578872354
864	0.02570593134
865	0.02562137413
866	0.02551723956
867	0.02549149433
868	0.02540006812
869	0.02534517989
870	0.02522903641
871	0.02513808306
872	0.02502674764
873	0.02490697444
874	0.02483384211
875	0.02474361953
876	0.02466847669
877	0.02456375155
878	0.0244402565
879	0.0243516216
880	0.02426123195
881	0.02417369444
882	0.02409055548
883	0.02401235739
884	0.02393593068
885	0.0239127261
886	0.0238253738
887	0.02379251658
888	0.02367758277
889	0.02357664852
890	0.02350267558
891	0.02348151567
892	0.0234110732
893	0.02338911405
894	0.02336545685
895	0.02323663654
896	0.0231128293
897	0.02305157705
898	0.02296066983
899	0.02284213926
900	0.02275750387
901	0.02265010503
902	0.02258957794
903	0.02256193982
904	0.02250656061
905	0.02237111857
906	0.0222554391
907	0.02223060297
908	0.02213291463
909	0.02205112004
910	0.02196939395
911	0.0219034434
912	0.02189249903
913	0.02185089897
914	0.02175073311
915	0.02167945931
916	0.02159579803
917	0.02157909597
918	0.02149080391
919	0.02139382996
920	0.02134929734
921	0.0213120359
922	0.02120836366
923	0.02114053277
924	0.02107252632
925	0.02106657363
926	0.02098366727
927	0.02093370026
928	0.02090421506
929	0.02083126048
930	0.02077969595
931	0.02069275207
932	0.02062101068
933	0.02054451352
934	0.0204897417
935	0.0203999065
936	0.02029333553
937	0.0202215397
938	0.02012796754
939	0.02004283427
940	0.02002832186
941	0.01997957976
942	0.0199434196
943	0.01989853297
944	0.01985227859
945	0.01974851849
946	0.01967761838
947	0.01965938851
948	0.01960563718
949	0.01953015016
950	0.01946757739
951	0.01942080948
952	0.01929031124
953	0.01921211983
954	0.01920081315
955	0.01912660245
956	0.01905363569
957	0.01903695367
958	0.0190041474
959	0.018949509
960	0.01888997802
961	0.0188747219
962	0.01884438256
963	0.01883701801
964	0.0187392258
965	0.01863983179
966	0.01857412267
967	0.0185079555
968	0.01849352472
969	0.01844129287
970	0.01839402827
971	0.0183743767
972	0.01836310587
973	0.0183459894
974	0.01825388361
975	0.01819199071
976	0.018118332
977	0.01808652743
978	0.01802678967
979	0.01792999864
980	0.01787522823
981	0.01780747997
982	0.01773118995
983	0.01768787807
984	0.01763082779
985	0.0176196815
986	0.01753247166
987	0.01744368333
988	0.01736817799
989	0.01730654602
990	0.01725180535
991	0.01718857109
992	0.01712691226
993	0.01710677598
994	0.01708055615
995	0.01703447245
996	0.01694715752
997	0.01688275835
998	0.01682568069
999	0.01675190191
